Company,Location,Industry,Date,Year,Total_Employees,Laid_Off,Layoff_Percentage,Department,Funds_Raised,Stage,Layoff_Intensity_Category,"Company_Size_Category
","Funding_Category
"
Stripe,Unknown,Hardware,2020-08-23,2020,"23,580",1358,5.76%,Marketing,100M,Series A,Moderate,Large,Early Stage
Company35,United States,Cloud,2021-05-17,2021,"47,660",1139,2.39%,Marketing,100M,Series A,Low,Large,Early Stage
Meta,Unknown,Social Media,2022-05-12,2022,"22,260",1779,7.99%,Finance,Not specified,Private,High,Large,Unknown
Company12,Canada,E-commerce,2022-12-18,2022,"36,248",2713,7.48%,Sales,5B+,Public,High,Large,Mature
Twitter,United States,Social Media,2021-03-13,2021,"1,801",83,4.61%,Design,500M,Series A,Low,Small,Growth Stage
Company18,United States,Automotive,2024-09-18,2024,"2,770",251,9.06%,Marketing,Not Specified,Series A,Severe,Small,Unknown
Shopify,Unknown,Entertainment,2023-10-12,2023,"47,648",1864,3.91%,Product,Not specified,Series A,Low,Large,Unknown
Company29,United States,Software,2021-05-05,2021,"16,762",1079,6.44%,Operations,1B,Public,Moderate,Medium,Late Stage
Company44,United States,E-commerce,2022-06-24,2022,"41,592",3448,8.29%,Engineering,2B,Public,Severe,Large,Late Stage
Company30,United Kingdom,Fintech,2023-09-25,2023,"18,061",667,3.69%,Operations,1B,Private,Low,Medium,Late Stage
Company33,United Kingdom,Hardware,2024-02-15,2024,"9,129",600,6.57%,Product,1B,Private,Moderate,Medium,Late Stage
Company28,United Kingdom,Entertainment,2021-01-26,2021,"24,134",2245,9.30%,Operations,1B,IPO,Severe,Large,Late Stage
Company4,United States,Entertainment,2025-08-08,2025,"41,985",NA,0.00%,Sales,100M,IPO,Low,Large,Early Stage
Company32,United States,Fintech,2023-03-30,2023,"16,932",841,4.97%,HR,500M,IPO,Low,Medium,Growth Stage
Company11,Canada,Automotive,2023-04-24,2023,"14,079",NA,0.00%,Finance,5B+,Series A,Low,Medium,Mature
Company36,France,E-commerce,2025-03-04,2025,"37,725",3241,8.59%,Marketing,Not Specified,Series A,Severe,Large,Unknown
Company30,United Kingdom,E-commerce,2021-09-01,2021,"15,024",1024,6.82%,Engineering,2B,Private,Moderate,Medium,Late Stage
