Company,Location,Industry,Date,Total Employees,Laid Off,Percentage,Department,Funds Raised,Stage
Stripe,,Hardware,2020-08-23,23580,1358.0,5.76,Marketing,100M,Series A
Company35,United States,Cloud,2021-05-17,47660,1139.0,2.39,Marketing,100M,Series A
Meta,,Social Media,2022-05-12,22260,1779.0,7.99,Finance,Not specified,Private
Company12,Canada,E-commerce,2022-12-18,36248,2713.0,7.48,Sales,5B+,Public
Twitter,San Francisco,Social Media,2021-03-13,1801,83.0,4.61,Design,500M,Series A
Company18,Seattle,Automotive,2024-09-18,2770,251.0,9.06,Marketing,,Series A
Shopify,,Entertainment,2023-10-12,47648,1864.0,3.91,Product,Not specified,Series A
Company29,Seattle,Software,2021-05-05,16762,1079.0,6.44,Operations,1B,Public
Company44,San Francisco,E-commerce,2022-06-24,41592,3448.0,8.29,Engineering,2B,Public
Company30,UK,Fintech,2023-09-25,18061,667.0,3.69,Operations,1B,Private
Company33,UK,Hardware,2024-02-15,9129,600.0,6.57,Product,1B,Private
Company28,London,Entertainment,2021-01-26,24134,2245.0,9.3,Operations,1B,IPO
Company4,USA,Entertainment,2025-08-08,41985,,,Sales,100M,IPO
Company32,US,Fintech,2023-03-30,16932,841.0,4.97,HR,500M,IPO
Company11,Canada,Automotive,2023-04-24,14079,,,Finance,5B+,Series A
Company36,France,E-commerce,2025-03-04,37725,3241.0,8.59,Marketing,,Series A
Company30,UK,E-commerce,2021-09-01,15024,1024.0,6.82,Engineering,2B,Private
Company6,France,Automotive,2024-05-24,36115,384.0,1.06,Design,500M,IPO
Oracle,New York,Automotive,2023-09-24,41843,509.0,1.22,Sales,5B+,Private
DoorDash,USA,Fintech,2023-12-06,8991,686.0,7.63,Finance,500M,Series A
Company30,Seattle,Entertainment,2023-09-12,9547,1026.0,10.75,Design,5B+,IPO
Company1,London,Entertainment,2021-03-01,28742,1626.0,5.66,HR,,Series A
Company3,Canada,Hardware,2022-04-20,30482,2305.0,7.56,HR,,Series A
Company39,India,Fintech,2024-05-17,36680,,,HR,500M,Private
Snowflake,San Francisco,Social Media,2023-05-18,15557,71.0,0.46,Marketing,Not specified,Public
Company49,UK,Cloud,2021-11-15,26544,1549.0,5.84,Design,2B,Public
Company13,San Francisco,Entertainment,2024-03-22,33450,2775.0,8.3,HR,2B,Public
Company13,New York,Social Media,2024-08-28,20517,1533.0,7.47,HR,2B,Series A
Company20,US,E-commerce,2023-01-10,47172,943.0,2.0,Marketing,2B,Public
Company23,UK,Fintech,2024-08-13,11619,755.0,6.5,Operations,5B+,Series A
Palantir,New York,Fintech,2024-06-29,25054,1902.0,7.59,Finance,Not specified,Series A
Apple,United States,Fintech,2020-01-19,26701,929.0,3.48,Finance,5B+,Private
Oracle,New York,Entertainment,2023-09-29,15033,264.0,1.76,HR,5B+,Private
Google,USA,Cloud,2021-05-22,41422,2930.0,7.07,Finance,Not specified,Private
Zoom,San Francisco,Software,2025-06-30,2150,18.0,0.84,Engineering,100M,Series A
Company14,Seattle,Software,30/08/2023,43269,,,Engineering,2B,Series A
Company16,France,Entertainment,2022-08-16,12640,163.0,1.29,Marketing,,Private
Company28,New York,Social Media,2024-07-03,26039,1882.0,7.23,Finance,Not specified,Private
